RECS,Line,DTsc_sec,UsedAlt_m,GHead_deg,Lat_deg,Lon_deg,Galt_m,Gtm_sec,Epoch_sec,ALTsp_m,mereni
118,390,1931,146,313,50.035299,12.652104,858.60,26472,1334820072,146.09,1005.64
119,390,1932,132,313,50.035553,12.651652,857.80,26473,1334820073,132.11,823.36
120,390,1933,126,312,50.035799,12.651197,857.20,26474,1334820074,126.45,784.76
121,390,1934,120,311,50.036031,12.650734,855.70,26475,1334820075,120.71,802.17
122,390,1935,120,310,50.036246,12.650261,855.00,26476,1334820076,120.13,706.64
123,390,1936,121,309,50.036449,12.649781,854.30,26477,1334820077,121.61,686.86
124,390,1937,123,307,50.036636,12.649297,853.20,26478,1334820078,123.09,777.01
125,390,1938,124,305,50.036809,12.648806,852.20,26479,1334820079,124.42,778.88
126,390,1939,124,303,50.036966,12.648305,851.20,26480,1334820080,124.73,806.16
127,390,1940,122,301,50.037104,12.647801,850.50,26481,1334820081,122.94,770.14
128,390,1941,121,298,50.037224,12.647289,849.90,26482,1334820082,121.81,753.13
129,390,1942,121,295,50.037323,12.646771,849.30,26483,1334820083,121.96,711.27
130,390,1943,128,293,50.037403,12.646249,848.50,26484,1334820084,128.17,708.48
131,390,1944,137,289,50.037479,12.645724,847.80,26485,1334820085,137.54,728.08
132,390,1945,146,286,50.037556,12.645202,846.60,26486,1334820086,146.63,883.34
133,390,1946,150,284,50.037643,12.644681,846.30,26487,1334820087,150.50,929.90
134,390,1947,157,284,50.037736,12.644159,846.50,26488,1334820088,157.92,933.12
135,390,1948,162,284,50.037843,12.643642,846.70,26489,1334820089,162.48,1049.99
136,390,1949,163,285,50.037966,12.643137,847.40,26490,1334820090,163.15,1040.23
137,390,1950,161,286,50.038099,12.642639,847.80,26491,1334820091,161.08,1055.53
138,390,1951,159,288,50.038248,12.642152,847.90,26492,1334820092,159.64,1049.21
139,390,1952,158,290,50.038414,12.641677,848.50,26493,1334820093,158.46,1041.48
140,390,1953,157,293,50.038598,12.641217,849.70,26494,1334820094,158.00,1045.80
141,390,1954,158,295,50.038789,12.640769,850.50,26495,1334820095,158.97,1055.46
142,390,1955,160,298,50.038993,12.640334,851.10,26496,1334820096,160.18,988.44
143,390,1956,164,301,50.039203,12.639904,851.80,26497,1334820097,164.71,1068.71
144,390,1957,169,303,50.039416,12.639481,852.20,26498,1334820098,169.63,1076.85
145,390,1958,173,305,50.039641,12.639061,852.90,26499,1334820099,173.18,1089.21
146,390,1959,175,306,50.039878,12.638659,853.10,26500,1334820100,175.37,1155.47
147,390,1960,175,308,50.040124,12.638270,853.60,26501,1334820101,175.21,1146.88
148,390,1961,175,310,50.040381,12.637895,854.10,26502,1334820102,175.06,1223.99
149,390,1962,175,312,50.040648,12.637537,854.50,26503,1334820103,175.52,1218.70
150,390,1963,175,314,50.040928,12.637196,854.80,26504,1334820104,175.80,1238.70
151,390,1964,175,316,50.041216,12.636866,855.00,26505,1334820105,175.45,1185.00
152,390,1965,175,319,50.041513,12.636546,855.70,26506,1334820106,175.95,1142.01
153,390,1966,175,321,50.041808,12.636216,856.10,26507,1334820107,175.95,1070.43
154,390,1967,176,323,50.042099,12.635879,856.20,26508,1334820108,176.42,1201.60
155,390,1968,175,323,50.042386,12.635539,857.00,26509,1334820109,175.72,1206.50
156,390,1969,175,323,50.042666,12.635189,858.30,26510,1334820110,175.72,1275.14
157,390,1970,173,323,50.042939,12.634831,859.40,26511,1334820111,173.18,1253.17
158,390,1971,167,322,50.043206,12.634464,860.40,26512,1334820112,167.40,1257.29
159,390,1972,158,320,50.043468,12.634094,862.10,26513,1334820113,158.82,1185.87
160,390,1973,153,319,50.043728,12.633722,864.00,26514,1334820114,153.70,1116.38
161,390,1974,144,318,50.043983,12.633351,866.40,26515,1334820115,144.60,1170.10
162,390,1975,135,317,50.044238,12.632984,869.20,26516,1334820116,135.66,1067.85
163,390,1976,128,317,50.044493,12.632622,872.00,26517,1334820117,128.36,1048.22
164,390,1977,122,317,50.044744,12.632260,874.90,26518,1334820118,122.27,1038.28
165,390,1978,119,317,50.045003,12.631911,878.30,26519,1334820119,119.23,1031.25
166,390,1979,113,317,50.045266,12.631577,882.00,26520,1334820120,113.26,1001.74
167,390,1980,105,318,50.045531,12.631257,886.10,26521,1334820121,105.60,955.00
168,390,1981,99,319,50.045801,12.630956,892.20,26522,1334820122,99.55,884.63
169,390,1982,97,320,50.046071,12.630679,899.30,26523,1334820123,97.01,847.40
170,390,1983,93,322,50.046337,12.630424,906.60,26524,1334820124,93.46,863.26
171,390,1984,90,324,50.046604,12.630187,913.30,26525,1334820125,90.92,933.73
172,390,1985,90,326,50.046874,12.629977,919.90,26526,1334820126,90.69,808.10
173,390,1986,89,328,50.047139,12.629816,923.80,26527,1334820127,89.95,837.21
174,390,1987,89,330,50.047414,12.629676,930.10,26528,1334820128,89.21,961.47
175,390,1988,88,334,50.047686,12.629576,935.00,26529,1334820129,88.54,902.10
176,390,1989,85,338,50.047958,12.629517,939.30,26530,1334820130,85.77,873.36
177,390,1990,81,342,50.048229,12.629474,943.80,26531,1334820131,81.75,814.06
178,390,1991,78,347,50.048498,12.629426,948.20,26532,1334820132,78.78,817.01
179,390,1992,73,350,50.048763,12.629366,952.70,26533,1334820133,73.86,828.71
180,390,1993,67,352,50.049021,12.629289,957.30,26534,1334820134,67.97,753.08
181,390,1994,63,352,50.049276,12.629202,962.20,26535,1334820135,63.44,722.67
182,390,1995,60,351,50.049526,12.629101,967.20,26536,1334820136,60.90,722.22
183,390,1996,60,349,50.049773,12.628982,971.80,26537,1334820137,60.08,681.90
184,390,1997,58,347,50.050014,12.628846,976.40,26538,1334820138,58.46,683.40
185,390,1998,58,345,50.050249,12.628687,981.40,26539,1334820139,58.68,623.18
186,390,1999,60,342,50.050478,12.628509,986.40,26540,1334820140,60.00,679.20
187,390,2000,60,339,50.050701,12.628312,991.30,26541,1334820141,60.32,657.46
188,390,2001,61,336,50.050916,12.628094,995.90,26542,1334820142,61.06,662.49
189,390,2002,63,333,50.051124,12.627852,1000.70,26543,1334820143,63.09,620.38
190,390,2003,65,330,50.051323,12.627604,1003.60,26544,1334820144,65.31,686.95
191,390,2004,67,326,50.051513,12.627344,1005.80,26545,1334820145,67.11,726.92
192,390,2005,67,323,50.051696,12.627071,1007.70,26546,1334820146,67.54,707.42
193,390,2006,68,321,50.051876,12.626779,1009.40,26547,1334820147,68.95,662.34
194,390,2007,70,318,50.052049,12.626479,1010.70,26548,1334820148,70.58,647.77
195,390,2008,71,316,50.052211,12.626167,1011.90,26549,1334820149,71.72,685.31
196,390,2009,70,314,50.052329,12.625821,1013.00,26550,1334820150,70.82,734.68
197,390,2010,68,311,50.052513,12.625434,1022.00,26551,1334820151,68.52,704.66
198,390,2011,65,304,50.052668,12.625059,1028.30,26552,1334820152,65.00,665.22
199,390,2012,61,305,50.052823,12.624682,1034.70,26553,1334820153,61.22,628.74
200,390,2013,58,303,50.052983,12.624309,1040.10,26554,1334820154,58.76,623.69
201,390,2014,56,303,50.053151,12.623932,1045.90,26555,1334820155,56.96,654.47
202,390,2015,52,303,50.053322,12.623561,1051.20,26556,1334820156,52.80,619.43
203,390,2016,49,303,50.053504,12.623194,1055.90,26557,1334820157,49.82,625.43
204,390,2017,48,304,50.053699,12.622832,1061.00,26558,1334820158,48.47,560.18
205,390,2018,47,306,50.053908,12.622492,1064.40,26559,1334820159,47.88,548.46
206,390,2019,48,308,50.054126,12.622154,1068.60,26560,1334820160,48.02,476.46
207,390,2020,48,310,50.054358,12.621827,1072.50,26561,1334820161,48.70,478.62
208,390,2021,50,312,50.054599,12.621506,1075.80,26562,1334820162,50.11,491.31
209,390,2022,51,315,50.054849,12.621182,1079.10,26563,1334820163,51.24,485.47
210,390,2023,50,317,50.055109,12.620859,1082.30,26564,1334820164,50.48,541.03
211,390,2024,51,318,50.055374,12.620537,1085.20,26565,1334820165,51.46,564.15
212,390,2025,52,320,50.055648,12.620216,1088.40,26566,1334820166,52.57,535.59
213,390,2026,54,321,50.055926,12.619884,1091.50,26567,1334820167,54.95,562.38
214,390,2027,56,321,50.056201,12.619537,1094.00,26568,1334820168,56.06,555.15
215,390,2028,60,322,50.056476,12.619179,1095.70,26569,1334820169,60.67,544.78
216,390,2029,65,321,50.056741,12.618797,1098.20,26570,1334820170,65.47,523.98
217,390,2030,72,320,50.056994,12.618392,1101.00,26571,1334820171,72.81,523.32
218,390,2031,81,318,50.057231,12.617959,1103.50,26572,1334820172,81.59,569.73
219,390,2032,85,316,50.057444,12.617497,1105.70,26573,1334820173,85.58,582.94
220,390,2033,90,313,50.057642,12.617016,1107.60,26574,1334820174,90.10,610.01
221,390,2034,91,309,50.057828,12.616514,1109.60,26575,1334820175,91.43,619.59
222,390,2035,91,306,50.058002,12.616006,1111.60,26576,1334820176,91.08,704.92
223,390,2036,89,302,50.058171,12.615491,1115.00,26577,1334820177,89.05,721.61
224,390,2037,85,300,50.058329,12.614979,1118.50,26578,1334820178,85.77,646.89
225,390,2038,81,298,50.058486,12.614466,1121.50,26579,1334820179,81.48,696.22
226,390,2039,77,297,50.058643,12.613951,1123.50,26580,1334820180,77.73,682.43
227,390,2040,73,296,50.058801,12.613434,1125.00,26581,1334820181,73.20,657.31
228,390,2041,70,295,50.058964,12.612914,1125.90,26582,1334820182,70.16,680.93
229,390,2042,65,295,50.059141,12.612394,1127.10,26583,1334820183,65.59,678.27
230,390,2043,61,295,50.059328,12.611872,1128.00,26584,1334820184,61.14,622.33
231,390,2044,56,296,50.059531,12.611359,1128.50,26585,1334820185,56.75,655.83
232,390,2045,53,297,50.059747,12.610849,1128.90,26586,1334820186,53.54,626.09
233,390,2046,51,299,50.059978,12.610341,1129.40,26587,1334820187,51.08,631.85
234,390,2047,50,301,50.060219,12.609832,1128.90,26588,1334820188,50.11,660.09
235,390,2048,52,303,50.060474,12.609327,1127.30,26589,1334820189,52.43,629.10
236,390,2049,54,304,50.060746,12.608827,1125.10,26590,1334820190,54.87,597.19
237,390,2050,55,306,50.061034,12.608341,1123.50,26591,1334820191,55.32,603.40
238,390,2051,56,308,50.061334,12.607859,1121.20,26592,1334820192,56.96,609.46
239,390,2052,59,310,50.061643,12.607381,1117.90,26593,1334820193,59.73,625.69
240,390,2053,64,312,50.061959,12.606901,1114.10,26594,1334820194,64.10,603.45
241,390,2054,65,313,50.062284,12.606426,1110.30,26595,1334820195,65.51,590.70
242,390,2055,68,314,50.062614,12.605959,1106.60,26596,1334820196,68.36,649.20
243,390,2056,71,315,50.062949,12.605496,1103.70,26597,1334820197,71.25,606.96
244,390,2057,75,316,50.063284,12.605032,1100.50,26598,1334820198,75.35,636.51
245,390,2058,79,317,50.063614,12.604559,1096.10,26599,1334820199,79.52,645.20
246,390,2059,80,317,50.063944,12.604079,1091.50,26600,1334820200,80.77,647.35
247,390,2060,84,317,50.064271,12.603597,1086.90,26601,1334820201,84.87,735.64
248,390,2061,90,317,50.064596,12.603109,1082.20,26602,1334820202,90.26,672.30
249,390,2062,96,316,50.064916,12.602612,1077.80,26603,1334820203,96.35,688.39
250,390,2063,98,316,50.065232,12.602107,1073.50,26604,1334820204,98.15,715.42
251,390,2064,101,315,50.065541,12.601592,1068.80,26605,1334820205,101.11,649.47
252,390,2065,103,315,50.065841,12.601062,1064.50,26606,1334820206,103.50,644.99
253,390,2066,105,314,50.066136,12.600524,1060.60,26607,1334820207,105.72,575.07
254,390,2067,107,312,50.066423,12.599982,1055.90,26608,1334820208,107.36,609.79
255,390,2068,107,311,50.066701,12.599419,1052.20,26609,1334820209,107.36,579.06
256,390,2069,108,310,50.066971,12.598842,1049.20,26610,1334820210,108.73,603.78
257,390,2070,111,308,50.067238,12.598266,1046.40,26611,1334820211,111.26,637.30
258,390,2071,115,307,50.067498,12.597692,1044.00,26612,1334820212,115.29,605.61
259,390,2072,116,306,50.067749,12.597119,1042.20,26613,1334820213,116.61,679.09
260,390,2073,120,305,50.067998,12.596549,1040.80,26614,1334820214,120.79,714.71
261,390,2074,124,305,50.068243,12.595981,1038.80,26615,1334820215,124.58,740.29
262,390,2075,126,304,50.068488,12.595416,1035.90,26616,1334820216,126.80,789.65
263,390,2076,128,304,50.068734,12.594856,1033.50,26617,1334820217,128.09,805.11
264,390,2077,127,304,50.068981,12.594297,1030.80,26618,1334820218,127.27,882.00
265,390,2078,126,304,50.069231,12.593746,1027.60,26619,1334820219,126.65,901.68
266,390,2079,125,304,50.069487,12.593202,1024.90,26620,1334820220,125.08,912.07
267,390,2080,122,304,50.069752,12.592664,1023.10,26621,1334820221,122.51,934.16
268,390,2081,120,305,50.070024,12.592136,1022.60,26622,1334820222,120.99,995.78
269,390,2082,116,306,50.070299,12.591616,1021.90,26623,1334820223,116.93,1017.63
270,390,2083,110,307,50.070582,12.591107,1021.80,26624,1334820224,110.64,1059.23
271,390,2084,104,308,50.070872,12.590607,1022.50,26625,1334820225,104.16,1064.43
272,390,2085,98,309,50.071168,12.590112,1023.60,26626,1334820226,98.38,972.35
273,390,2086,94,310,50.071466,12.589627,1023.90,26627,1334820227,94.71,980.99
274,390,2087,90,311,50.071771,12.589154,1024.20,26628,1334820228,90.34,959.16
275,390,2088,84,312,50.072079,12.588689,1025.50,26629,1334820229,84.68,1003.99
276,390,2089,79,313,50.072386,12.588237,1027.50,26630,1334820230,79.84,992.86
277,390,2090,77,314,50.072687,12.587802,1030.60,26631,1334820231,77.46,973.98
278,390,2091,71,315,50.072986,12.587384,1033.70,26632,1334820232,71.17,944.12
279,390,2092,66,316,50.073278,12.586972,1036.80,26633,1334820233,66.21,908.53
280,390,2093,60,317,50.073564,12.586559,1039.00,26634,1334820234,60.98,942.85
281,390,2094,57,317,50.073849,12.586149,1040.70,26635,1334820235,57.70,833.08
282,390,2095,55,317,50.074131,12.585729,1041.80,26636,1334820236,55.69,837.22
283,390,2096,53,317,50.074398,12.585306,1042.00,26637,1334820237,53.62,830.99
284,390,2097,53,316,50.074661,12.584862,1042.40,26638,1334820238,53.47,816.85
285,390,2098,56,315,50.074918,12.584411,1042.20,26639,1334820239,56.45,775.69
286,390,2099,57,314,50.075166,12.583947,1041.70,26640,1334820240,57.56,756.37
287,390,2100,62,312,50.075404,12.583476,1041.60,26641,1334820241,62.93,723.93
288,390,2101,69,311,50.075631,12.582995,1041.10,26642,1334820242,70.00,674.19
289,390,2102,77,309,50.075851,12.582506,1040.60,26643,1334820243,77.30,686.15
290,390,2103,84,308,50.076064,12.582007,1040.40,26644,1334820244,84.13,736.49
291,390,2104,86,306,50.076271,12.581509,1038.60,26645,1334820245,86.16,744.70
292,390,2105,91,305,50.076473,12.581007,1037.10,26646,1334820246,91.51,751.51
293,390,2106,95,303,50.076672,12.580504,1035.20,26647,1334820247,95.30,754.02
294,390,2107,99,302,50.076868,12.579996,1032.40,26648,1334820248,99.94,766.75
295,390,2108,100,302,50.077064,12.579482,1029.00,26649,1334820249,100.96,848.74
296,390,2109,103,301,50.077264,12.578967,1025.10,26650,1334820250,103.73,778.53
297,390,2110,103,301,50.077468,12.578451,1020.90,26651,1334820251,103.89,925.58
298,390,2111,100,301,50.077677,12.577934,1017.10,26652,1334820252,100.84,952.76
299,390,2112,95,301,50.077891,12.577412,1013.10,26653,1334820253,95.38,889.32
300,390,2113,91,301,50.078111,12.576892,1009.20,26654,1334820254,91.35,904.08
301,390,2114,83,302,50.078338,12.576372,1005.70,26655,1334820255,83.70,890.48
302,390,2115,77,302,50.078569,12.575854,1002.50,26656,1334820256,77.46,894.30
303,390,2116,74,303,50.078808,12.575339,999.40,26657,1334820257,74.25,790.92
304,390,2117,73,304,50.079049,12.574825,996.40,26658,1334820258,73.12,852.48
305,390,2118,72,304,50.079293,12.574322,993.70,26659,1334820259,72.81,740.97
306,390,2119,73,305,50.079541,12.573827,991.60,26660,1334820260,73.36,775.30
307,390,2120,74,306,50.079789,12.573341,989.80,26661,1334820261,74.76,759.31
308,390,2121,78,306,50.080038,12.572860,987.70,26662,1334820262,78.86,700.25
309,390,2122,80,307,50.080288,12.572385,985.90,26663,1334820263,80.50,742.26
310,390,2123,84,308,50.080539,12.571916,984.20,26664,1334820264,84.95,726.08
311,390,2124,89,308,50.080791,12.571452,982.30,26665,1334820265,89.71,712.64
312,390,2125,92,309,50.081044,12.570994,980.30,26666,1334820266,92.41,841.76
313,390,2126,93,309,50.081298,12.570539,978.20,26667,1334820267,93.97,718.32
314,390,2127,97,310,50.081552,12.570089,976.80,26668,1334820268,97.41,740.62
315,390,2128,100,310,50.081808,12.569642,975.40,26669,1334820269,100.96,738.29
316,390,2129,104,310,50.082059,12.569195,974.40,26670,1334820270,104.24,695.00
317,390,2130,106,311,50.082311,12.568751,973.30,26671,1334820271,106.62,771.77
318,390,2131,106,311,50.082561,12.568307,972.40,26672,1334820272,106.42,762.53
319,390,2132,105,311,50.082808,12.567864,971.30,26673,1334820273,105.29,773.57
320,390,2133,103,311,50.083051,12.567417,970.20,26674,1334820274,103.22,807.71
321,390,2134,100,310,50.083291,12.566961,970.10,26675,1334820275,100.68,851.32
322,390,2135,98,310,50.083531,12.566511,969.00,26676,1334820276,98.89,784.16
323,390,2136,95,310,50.083766,12.566059,968.00,26677,1334820277,95.84,917.70
324,390,2137,93,309,50.083999,12.565601,967.60,26678,1334820278,93.66,971.77
325,390,2138,93,309,50.084229,12.565141,967.20,26679,1334820279,93.46,960.73
326,390,2139,94,308,50.084458,12.564676,967.00,26680,1334820280,94.36,1038.48
327,390,2140,94,308,50.084683,12.564207,966.40,26681,1334820281,94.13,1037.68
328,390,2141,94,307,50.084904,12.563741,966.00,26682,1334820282,94.56,1008.68
329,390,2142,94,307,50.085124,12.563272,966.00,26683,1334820283,94.36,1017.60
330,390,2143,94,306,50.085341,12.562811,965.90,26684,1334820284,94.56,909.77
331,390,2144,94,306,50.085556,12.562350,965.70,26685,1334820285,94.71,836.40
332,390,2145,93,306,50.085769,12.561894,965.40,26686,1334820286,93.89,995.82
333,390,2146,93,306,50.085978,12.561441,965.30,26687,1334820287,93.66,937.06
334,390,2147,93,305,50.086189,12.560992,965.30,26688,1334820288,93.81,935.42
335,390,2148,94,305,50.086398,12.560544,965.30,26689,1334820289,94.79,898.84
336,390,2149,94,306,50.086608,12.560082,967.90,26690,1334820290,94.56,945.28
337,390,2150,95,305,50.086816,12.559636,969.10,26691,1334820291,95.18,912.43
338,390,2151,95,305,50.087024,12.559199,970.10,26692,1334820292,95.18,1010.42
339,390,2152,94,305,50.087234,12.558764,972.00,26693,1334820293,94.48,934.06
340,390,2153,92,306,50.087449,12.558337,973.50,26694,1334820294,92.92,957.95
341,390,2154,91,306,50.087664,12.557916,975.50,26695,1334820295,91.43,1036.83
342,390,2155,88,307,50.087884,12.557499,977.20,26696,1334820296,88.54,1045.81
343,390,2156,86,307,50.088104,12.557094,978.30,26697,1334820297,86.24,971.58
344,390,2157,85,308,50.088332,12.556682,981.30,26698,1334820298,85.03,976.64
345,390,2158,83,309,50.088564,12.556276,983.90,26699,1334820299,83.47,1022.87
346,390,2159,81,310,50.088798,12.555875,986.60,26700,1334820300,81.83,1011.59
347,390,2160,80,310,50.089031,12.555474,989.80,26701,1334820301,80.93,1009.71
348,390,2161,79,311,50.089263,12.555079,993.90,26702,1334820302,79.10,1018.17
349,390,2162,78,311,50.089491,12.554689,999.20,26703,1334820303,78.04,1021.48
350,390,2163,77,312,50.089704,12.554309,1003.50,26704,1334820304,77.53,989.63
351,390,2164,76,312,50.089919,12.553941,1006.30,26705,1334820305,76.64,921.63
352,390,2165,75,311,50.090133,12.553579,1015.00,26706,1334820306,75.66,944.58
353,390,2166,76,311,50.090343,12.553224,1020.70,26707,1334820307,76.71,907.53
354,390,2167,77,312,50.090551,12.552874,1026.50,26708,1334820308,77.07,889.91
355,390,2168,79,312,50.090758,12.552527,1032.50,26709,1334820309,79.02,895.83
356,390,2169,81,312,50.090961,12.552182,1038.30,26710,1334820310,81.01,914.66
357,390,2170,83,312,50.091158,12.551839,1044.00,26711,1334820311,83.12,893.36
358,390,2171,83,312,50.091349,12.551494,1049.60,26712,1334820312,83.12,967.11
359,390,2172,83,312,50.091539,12.551152,1055.20,26713,1334820313,83.94,885.73
360,390,2173,84,311,50.091724,12.550812,1060.90,26714,1334820314,84.68,830.80
361,390,2174,85,311,50.091909,12.550471,1066.10,26715,1334820315,85.26,893.06
362,390,2175,85,310,50.092093,12.550127,1070.80,26716,1334820316,85.42,877.42
363,390,2176,84,310,50.092276,12.549784,1075.70,26717,1334820317,84.13,893.60
364,390,2177,82,310,50.092461,12.549434,1080.60,26718,1334820318,82.73,756.82
365,390,2178,79,309,50.092646,12.549086,1085.60,26719,1334820319,79.10,813.58
366,390,2179,76,309,50.092832,12.548739,1090.50,26720,1334820320,76.99,830.86
367,390,2180,75,309,50.093018,12.548392,1094.90,26721,1334820321,75.82,733.45
368,390,2181,74,309,50.093206,12.548042,1099.30,26722,1334820322,74.68,783.33
369,390,2182,75,309,50.093396,12.547692,1102.80,26723,1334820323,75.19,815.51
370,390,2183,73,309,50.093591,12.547334,1106.90,26724,1334820324,73.51,811.98
371,390,2184,71,309,50.093778,12.546981,1109.30,26725,1334820325,71.25,743.51
372,390,2185,68,310,50.093976,12.546619,1112.20,26726,1334820326,68.95,740.92
373,390,2186,65,309,50.094177,12.546255,1115.00,26727,1334820327,65.59,743.72
374,390,2187,63,310,50.094379,12.545889,1117.30,26728,1334820328,63.52,672.63
375,390,2188,61,310,50.094583,12.545517,1119.80,26729,1334820329,61.96,676.24
376,390,2189,61,310,50.094776,12.545149,1121.30,26730,1334820330,61.57,761.50
377,390,2190,61,310,50.094991,12.544755,1124.80,26731,1334820331,61.22,701.63
378,390,2191,59,309,50.095201,12.544361,1127.10,26732,1334820332,59.05,749.53
379,390,2192,56,309,50.095416,12.543962,1129.30,26733,1334820333,56.37,666.93
380,390,2193,55,309,50.095638,12.543561,1131.50,26734,1334820334,55.69,640.91
